Node,Input,Season,Availability Factor PV Plant A Block 1,Availability Factor PV Plant B Block 1,Availability Factor PV Rooftop Block 1,Availability Factor Wind Onshore A Block 1,Availability Factor Wind Onshore B Block 1,Availability Factor Wind Offshore Block 1,Availability Factor Hydropower Block 1,Availability Factor PV Plant A Block 2,Availability Factor PV Plant B Block 2,Availability Factor PV Rooftop Block 2,Availability Factor Wind Onshore A Block 2,Availability Factor Wind Onshore B Block 2,Availability Factor Wind Offshore Block 2,Availability Factor Hydropower Block 2,Availability Factor PV Plant A Block 3,Availability Factor PV Plant B Block 3,Availability Factor PV Rooftop Block 3,Availability Factor Wind Onshore A Block 3,Availability Factor Wind Onshore B Block 3,Availability Factor Wind Offshore Block 3,Availability Factor Hydropower Block 3,Availability Factor PV Plant A Block 4,Availability Factor PV Plant B Block 4,Availability Factor PV Rooftop Block 4,Availability Factor Wind Onshore A Block 4,Availability Factor Wind Onshore B Block 4,Availability Factor Wind Offshore Block 4,Availability Factor Hydropower Block 4,Availability Factor PV Plant A Block 5,Availability Factor PV Plant B Block 5,Availability Factor PV Rooftop Block 5,Availability Factor Wind Onshore A Block 5,Availability Factor Wind Onshore B Block 5,Availability Factor Wind Offshore Block 5,Availability Factor Hydropower Block 5,Availability Factor Nuclear
JSK,Renewable Hydrogen,L,0,0,0,0.0811535423825032,0,0.115774791204829,0.181107063374777,0.133592789667466,0,0.134348586216386,0.127249019593736,0,0.19239547795423,0,0.1449027237735,0,0.143788931484953,0.173846843813044,0,0.241776286316002,0,0,0,0,0.219505007072805,0,0.275789760673543,0,0,0,0,0.270443543026322,0.329829478368616,0.316704702208968,0,0
NAF,Renewable Hydrogen,L,0,0,0,0.0829169783354163,0.135025099875702,0.121388087908748,0.0500454725952156,0,0,0,0.141944145886876,0.17836729628168,0.192450747697944,0,0,0,0,0.204084161191308,0.229221660764411,0.193878027882868,0,0.192737811630217,0.197598032365519,0.188673587083525,0.269823769035351,0.291324315828752,0.315515249600075,0,0.204516010754848,0.205860717848115,0.200692820604568,0.32500765932406,0.347358021367646,0.421922733242814,0,0
CEA,Renewable Hydrogen,L,0,0,0,0.0556140391859092,0.0685271638022481,0.0863405535594829,0.357902859875041,0.118637876050115,0.120702095191653,0.120368186507842,0.125070747731574,0.140682646984905,0.133747072959143,0,0.148737994578476,0.143304290469036,0.150371962631308,0.180373752869945,0.202373919780116,0.120529190540152,0,0.171926819661674,0.180249570900305,0.168731855430235,0.253686503428503,0.272142230269764,0.161467066710603,0,0.198674336801074,0.201010802186453,0.192792533668642,0.301993705942185,0.339723280658382,0.316293482700968,0,0
WAF,Renewable Hydrogen,L,0,0,0,0.062607616466772,0.0525185587326137,0.0689329884156901,0.38911289380648,0.105912680010425,0.105467327095476,0.105958983037043,0.12085075182013,0.140789514817158,0.147378392280964,0,0.125697540025341,0.131069968712987,0.122895527861782,0.153370230782345,0.163578121735908,0.22674723341011,0,0.149222384485817,0.148370406134397,0.150867457088433,0.213481207804501,0.207268576380524,0.313694478280847,0,0.179431960883144,0.187491546784383,0.173795416136299,0.304247969842959,0.317051675681742,0.407874196484798,0,0
EAS,Renewable Hydrogen,L,0,0,0,0.0712662953299479,0.0479734764741762,0.0922079961834313,0.489702193864913,0.12483622096295,0.108096620202248,0.126161670272746,0.162082541746588,0.154465345714539,0.116900636883343,0,0.131803856569778,0.12199138267664,0.130646236767262,0.202554419855376,0.207943101497935,0.10020114131182,0,0.143128508720081,0.147630709307165,0.14239397457603,0.271878844071902,0.257791484490232,0.0757356575271199,0,0.167865317941439,0.177537653016556,0,0.336666487088264,0.334648772264096,0.213241653274819,0,0
EAE,Renewable Hydrogen,L,0.152407660096764,0,0.152499978425022,0.0655607679874142,0,0.118924553215537,0.138555592477952,0.16436806664096,0.169274271021466,0.163883068373477,0.117186168199362,0.120556828435416,0.17295293537379,0,0.176755925117454,0.184983978032172,0.173762667182707,0.164395801764955,0.168745278947864,0.174365471143245,0,0,0,0,0.204180721828191,0.209973598031784,0.205449191857636,0,0,0,0,0.244819485593637,0.26226756845,0.259315237603636,0,0
RUS,Renewable Hydrogen,L,0.141820248624312,0.13990968847895,0.142822800968221,0.0714675334885379,0.0853678405647789,0.130066986954794,0.426432857140516,0.162640040163381,0.154721166506706,0.159726516470059,0.140053753426745,0.132706128719095,0.196453304308431,0,0.174853191353532,0.169641080586099,0.17207099717777,0.184956882917384,0.178602963098547,0.203050925652837,0,0.187051131745573,0.191971212739796,0.192867370253261,0.234340608345641,0.242591733070402,0.280164964361569,0,0,0,0,0.284454812345724,0.28306035461167,0.209161295071572,0,0
SAF,Renewable Hydrogen,L,0.0460342657418141,0.0415460523616668,0.0492210357730978,0.0871466510853871,0.103388195490732,0.180585028059455,0.0367934863453821,0.0592255581607956,0.052660862732136,0.0642755225880471,0.151476827643171,0.15783604260769,0.223133964785301,0,0.0835957863300234,0.0861339976276704,0.0794830065026682,0.205827631453185,0.202756769436642,0.249055363317447,0,0.115316237247528,0.108775349721192,0.119325545946498,0.262833011418293,0.259995873693162,0.257015006193691,0,0,0,0,0.337730167670037,0.333245766559611,0.331470522602136,0,0
GLF,Renewable Hydrogen,L,0,0,0,0.106936578274744,0.107291267199432,0.115216895145348,0,0,0,0,0.177515333290906,0.177997942051011,0.143433706192393,0,0,0,0,0.22331055536777,0.228690799745197,0.290172982861332,0,0.173421599628836,0.169290506878457,0.164952159965034,0.277291982055828,0.305959513469474,0.287670317048693,0,0.199783018411823,0.195107424141562,0.185372691979173,0.340845757341289,0.414242375903718,0.356472440797208,0,0
CAS,Renewable Hydrogen,L,0,0,0,0.079213044031227,0.0916996491223204,0.121180239798526,0.575270110478692,0.155053004015846,0.155992629619238,0.156714445017383,0.174322227611966,0.176619321899001,0.221441075079237,0,0.17984375977605,0.181249926004998,0.184733664471565,0.226800663570092,0.224624811955701,0.259864768409578,0,0.199562598865853,0.199990729362356,0.198932659576474,0.278223571284716,0.264177036372684,0.317969779099822,0,0.212772317915661,0.21562789799182,0.210532310592342,0.340894306400471,0.337734055696031,0.304772944470372,0,0
CEE,Renewable Hydrogen,L,0,0,0,0.0528998394222791,0,0.0684646274512603,0.233819889702236,0.161974820916142,0,0.161261190980964,0.0989586119480917,0,0.158846700112917,0,0.16417301599526,0,0.165535697582502,0.136589442074744,0,0,0,0,0,0,0.188480415200398,0,0.279405022164287,0,0,0,0,0.249658449745677,0,0.125370638150963,0,0
NOE,Renewable Hydrogen,L,0.129634209137404,0.124223880566162,0.14189300988716,0.082223588082936,0.0880548900449853,0.12355717743428,0.229737936063366,0.161231256698965,0.15548708896095,0.164384193524735,0.132801359657058,0.13612548202128,0.170966759188855,0,0,0,0,0.172701564749976,0.177009886934714,0.240773481178363,0,0,0,0,0.216697029329562,0.230096500721162,0.278213443097,0,0,0,0,0.278251655750652,0.289658086832466,0.237257570411993,0,0
BRI,Renewable Hydrogen,L,0.126299664568053,0.122346273941205,0.130995088170394,0.084323597128573,0,0,0.0633412860456312,0.143017287599602,0.137837759025059,0.14413155232233,0.126338252259413,0.132336444505075,0.147569602439678,0,0,0,0,0.168811971154216,0.181402270473542,0.25938245441664,0,0.18042740806315,0,0.199108959275695,0.19965843066703,0.221612443055968,0.240133301174489,0,0,0,0,0.254342636704935,0.298076444105295,0.194805508297943,0,0
USA,Renewable Hydrogen,L,0.129169622079508,0.124626050009564,0.137886238403611,0.0856026844805941,0.0937672952211113,0.0521329087201868,0.15116108819004,0.149436308979262,0.150229969612328,0.150351762618958,0.127151223154632,0.150295218701999,0.0767908267446552,0,0.168755004007457,0.183626778216163,0.160064618697475,0.173843973932538,0.187826905243654,0.118627075172153,0,0.193863819592001,0.198781691998034,0.191682743985274,0.232009407586873,0.231742758920424,0.230523567674209,0,0.213116437881089,0.21573117006687,0.21189532750696,0.289284701160941,0.28412136344068,0.241060575484121,0,0
CAN,Renewable Hydrogen,L,0.144928721259564,0.142291515587144,0,0.070602701953651,0.0869098405254935,0.127936292548821,0.59391597321208,0.157420729711826,0.154200794308469,0.15921255816425,0.136616885067763,0.144761160713351,0.227721133798638,0,0.177441031365887,0.176946215580784,0.1709096353485,0.186022218910188,0.194965620787879,0.265353475390199,0,0.189568312219389,0.190293531194705,0.189779521422527,0.235318332021973,0.251406982606716,0.296063141417379,0,0,0,0,0.287298933905645,0.316479826425871,0.31911702938048,0,0
ANZ,Renewable Hydrogen,L,0.0322101327856035,0.0308759093185815,0.034065764760764,0.0946028753997405,0.102222067057081,0.124601558908781,0.264845427546803,0.0489394514956816,0.0524308914179924,0.057791445088266,0.155344277145441,0.153696781518587,0.173240379843378,0,0.0996992345090627,0.0942577319749196,0.0976782075643686,0.220363946171985,0.216016528109991,0.246587953287338,0,0.134264679997742,0.134757822398583,0.141251148034052,0.27902828476905,0.263773685525497,0.294648718296546,0,0,0,0,0.343023885959923,0.344143382112451,0.353989073102247,0,0
PAC,Renewable Hydrogen,H,0,0.119128052236579,0,0.0382960698730112,0.0335752229572342,0.0570494579273363,0.233113876644107,0.131812550323691,0.140876517509968,0.130903425670681,0.133235657341236,0.0970358474076072,0.19271436810286,0,0.141107910482568,0.146133418046181,0.146113310604384,0.199822292495053,0.144753422900646,0.129406883696863,0,0.17144953453795,0.172667585587156,0.165422062861501,0.2912015698755,0.19843142695005,0.190211162791684,0,0,0,0,0.395038139510189,0.289075358055794,0.444927704912225,0,0
SWA,Renewable Hydrogen,H,0.133542978698441,0.121336733696191,0.136468693324705,0.0541231521234239,0.0595652267605609,0.10157343947014,0.325818311732583,0.155414337106487,0.145278544340155,0.148078237537443,0.142174860769564,0.14391040592406,0.0984115555368212,0,0.162709689468524,0.168687878774226,0.148470127108716,0.187185143669741,0.188721648712362,0.195058112056712,0,0.190079884944118,0.213151681535896,0.175542461958736,0.238470822870002,0.242436438245074,0.306453063950405,0,0.186490409193959,0.186936843875656,0,0.338139582126061,0.381036727647097,0.428351508750088,0,0
SEA,Renewable Hydrogen,H,0.14986191855731,0.144167501848909,0.142496519165155,0.0581904169723672,0.0458420697672362,0.0886481072048863,0.480946239734908,0.1561383653748,0.161593805303818,0.150858821357186,0.123402804902865,0.122603571863949,0.0883894998523371,0,0.159887304188654,0.160280604783094,0.161934737897796,0.188690681532137,0.193610086410319,0.209522853081823,0,0.175322324729892,0.184522759810335,0.171163244423007,0.250850766500797,0.267715120434441,0.162412254215653,0,0.18706794428625,0,0.187396365108269,0.333363583553472,0.3583481278558,0.283170193270633,0,0
SEE,Renewable Hydrogen,H,0,0,0,0.0839355701143791,0.0582894077952631,0.146578677573882,0.259039965686749,0.0836870274737674,0,0.0808910065562984,0.161937923284469,0.226046392007962,0.264303617083721,0,0.101275378214739,0,0.100590766517769,0.221358587953671,0.277256157229207,0.292522891598414,0,0.128570603355081,0.125321775180281,0.125975679575947,0.276379755432021,0.325617461890511,0.353244441431702,0,0,0,0,0.332103419652454,0.345248112864634,0.390893197023565,0,0
IND,Renewable Hydrogen,H,0,0,0,0.0410869343648798,0.045374891544726,0.0551694612613433,0.0660971423845759,0.125769087526005,0.131296237252522,0.131698692194395,0.0743821266499381,0.0935191155458253,0.0874299215127248,0,0.158458647027022,0.150196432446421,0.163192905122016,0.118170207028953,0.167993590521457,0.131302130444032,0,0.186379169618722,0.189970995940867,0.182990008949684,0.182740359157572,0.260259388281031,0.220064681474423,0,0.193647885436113,0.196461211648783,0.188928009958289,0.332575223910756,0.359847136570826,0.202845847104971,0,0
