Start,PAC,SWA,SEA,SEE,IND,CHN,LEV,EAF,IRN,SWE,JSK,NAF,CEA,WAF,EAS,EAE,RUS,SAF,GLF,CAS,CEE,NOE,BRI,USA,CAN,ANZ
JSK,4.52347050386403,15.6343069298602,18.5870486248117,9.3056393069335,7.0020632023001,1.7650843145103,9.18683632974714,11.5709047599393,7.78460920991472,9.57397756276316,40,11.1132257370866,9.06829274165435,13.4158218655143,4.63901284388727,8.82303011157206,5.53323359588438,13.4837337224383,8.26227631710437,7.37076637114885,9.42024898887371,7.21186033084302,9.59734230846909,10.8277919236329,10.695786855001,6.66102949255378
NAF,11.8850938475726,9.637649873922,7.90844497813278,2.4284815542403,8.16265435952632,10.4428408288796,3.25408844420939,6.58287170913619,5.39108116303712,1.69923668549522,11.1132257370866,40,10.003328451264,3.56593316993606,10.2033151412443,2.30591163527149,5.64951984421349,7.98662253978888,5.02392701849521,4.63797120012375,1.82338075870692,4.12781108148242,1.7317552569987,8.59652369252488,5.51486335314223,16.9860838616112
CEA,13.4764918967753,6.61336065319221,9.92102031016229,11.3249710280108,15.1567216383918,10.6940704235137,12.2806824053542,16.581940744976,13.414171052524,9.05588544803496,9.06829274165435,10.003328451264,40,12.8658656028249,13.6244327997589,9.39608774261827,8.53027507893411,16.9555608940344,13.4784706992737,11.9619067894512,9.07644543839338,8.19555424693753,8.94276600414923,2.09076418274984,4.56854772775565,11.5462960323988
WAF,11.7516071795617,9.42258341918098,6.23759710098313,4.29448169860716,7.64333933851004,12.0601837332174,4.23838218883471,3.94614463099107,5.78566217253692,5.18683618635028,13.4158218655143,3.56593316993606,12.8658656028249,40,10.3426123232551,5.52529260135279,8.66406811415701,4.57159378899558,5.2920517369085,6.04623008356477,5.27857150135965,7.45089283891502,5.2453610748828,10.9842916273826,8.35718395793252,15.6189071390241
EAS,1.68182902519447,19.7502084045837,16.0848579502068,7.77553045678549,2.734091803276,2.93791038467325,7.04479280095277,7.23179224128952,4.93012896366469,9.52582741708627,4.63901284388727,10.2033151412443,13.6244327997589,10.3426123232551,40,8.66820817837745,6.79699271319277,8.86910260060426,5.3796870786723,5.58872382925589,9.3828041989582,8.21653124186854,9.62159288208399,15.0702575945626,13.4647396897605,6.78411664817242
EAE,10.2935473894971,11.2282321238362,10.1274449209226,1.93691101340265,7.29227936944463,8.30031600890163,2.8881630631293,7.46412411678479,4.52215121226415,0.874450712898194,8.82303011157206,2.30591163527149,9.39608774261827,5.52529260135279,8.66820817837745,40,3.34511529396185,9.42493799457813,4.35869637734515,3.26411556397977,0.72161937611211,1.92585730047494,0.958537233641511,8.62655645736543,5.58284531321582,15.1224972031349
RUS,8.09231708124785,13.2156263855227,13.2894564927947,4.42437614203907,6.81242945184523,5.35226668301257,4.85558130336472,9.32096791860017,5.00084966309459,4.04619850476928,5.53323359588438,5.64951984421349,8.53027507893411,8.66406811415701,6.79699271319277,3.34511529396185,40,11.674553841563,5.20661847749854,3.64332562227176,3.89490109908077,1.71635092220166,4.06543318959862,8.84535657009041,6.66775296441455,12.1106571350611
SAF,9.42633881939716,10.8927067877473,7.30312330567996,7.6136180441828,6.55605845098303,11.7272541175427,6.91554435824057,2.39897254140946,6.87140938349208,9.39911622623646,13.4837337224383,7.98662253978888,16.9555608940344,4.57159378899558,8.86910260060426,9.42493799457813,11.674553841563,40,6.55737320141153,8.07008450585673,9.44440580337902,11.1712749067742,9.48672124811648,14.8648336184873,12.8277769816203,11.2978164811259
GLF,7.01802587348772,14.4197011043351,11.5296458055723,2.70770246012511,3.14372825377818,6.77771270080558,1.77179234361624,4.1614548824342,0.493740680344488,4.98946211947421,8.26227631710437,5.02392701849521,13.4784706992737,5.2920517369085,5.3796870786723,4.35869637734515,5.20661847749854,6.55737320141153,40,1.56977612830093,4.90173721035126,5.28322178499281,5.10845521043988,12.9825847944292,9.9276756893354,12.0493996577699
CAS,7.2669030254493,14.2649724711632,12.1053334162729,2.24024254152531,4.04654936513411,6.15589617419222,1.823367995266,5.69025149382009,1.45660131707675,4.05029066783564,7.37076637114885,4.63797120012375,11.9619067894512,6.04623008356477,5.58872382925589,3.26411556397977,3.64332562227176,8.07008450585673,1.56977612830093,40,3.92661322619803,3.79901098724924,4.15946600280538,11.6961479292958,8.78673386828502,12.3522955980723
CEE,11.0132385028606,10.5104935706887,9.47740187688038,2.29761828504285,7.91819867733605,8.98405791373692,3.2990813926334,7.6560641351107,5.11256294169439,0.159535092106556,9.42024898887371,1.82338075870692,9.07644543839338,5.27857150135965,9.3828041989582,0.72161937611211,3.89490109908077,9.44440580337902,4.90173721035126,3.92661322619803,40,2.30926594324195,0.238792946561854,8.12777254663484,5.03087829981494,15.8237616017415
NOE,9.64813960765762,11.7537341878549,11.5776774126563,3.55921714048066,7.64536703794185,7.05564848500122,4.30767427722839,9.01995868783104,5.25351377802492,2.44614930365945,7.21186033084302,4.12781108148242,8.19555424693753,7.45089283891502,8.21653124186854,1.92585730047494,1.71635092220166,11.1712749067742,5.28322178499281,3.79901098724924,2.30926594324195,40,2.44205292114295,7.97177549083551,5.34270649819552,13.8242511101826
BRI,11.2514274216539,10.271905258754,9.27976383839581,2.475030288752,8.14138686290788,9.19749467355484,3.47957399381856,7.75820190567923,5.3298791250554,0.119942257863858,9.59734230846909,1.7317552569987,8.94276600414923,5.2453610748828,9.62159288208399,0.958537233641511,4.06543318959862,9.48672124811648,5.10845521043988,4.15946600280538,0.238792946561854,2.44205292114295,40,7.94183269528809,4.83387120691869,16.0429024801869
USA,15.346007300641,5.09784234556735,8.01740914694417,10.4164100141649,15.6022645980544,12.2874948599143,11.4212063788963,14.8985357015197,13.0980830506598,8.06166806543279,10.8277919236329,8.59652369252488,2.09076418274984,10.9842916273826,15.0702575945626,8.62655645736543,8.84535657009041,14.8648336184873,12.9825847944292,11.6961479292958,8.12777254663484,7.97177549083551,7.94183269528809,40,3.12997192922334,13.4486225052879
CAN,14.6433231351844,6.55419230398334,7.8986867197688,7.30145860418174,12.8301739345626,11.5088054672836,8.3055731203988,12.0305418115558,10.1044088119319,4.95376669206996,10.695786855001,5.51486335314223,4.56854772775565,8.35718395793252,13.4647396897605,5.58284531321582,6.66775296441455,12.8277769816203,9.9276756893354,8.78673386828502,5.03087829981494,5.34270649819552,4.83387120691869,3.12997192922334,40,15.8998260833303
ANZ,5.10279774304252,13.4234379182221,14.6109003181063,14.5595409480973,8.9647296818611,6.84971097524568,13.7906921842188,11.7037462276901,11.6461201447739,15.9829298160294,6.66102949255378,16.9860838616112,11.5462960323988,15.6189071390241,6.78411664817242,15.1224972031349,12.1106571350611,11.2978164811259,12.0493996577699,12.3522955980723,15.8237616017415,13.8242511101826,16.0429024801869,13.4486225052879,15.8998260833303,40
